restaurantID;name;location;reviewCount;rating;categories;address;Hours;GoodforKids;AcceptsCreditCards;Parking;Attire;GoodforGroups;PriceRange;TakesReservations;Delivery;Takeout;WaiterService;OutdoorSeating;WiFi;GoodFor;Alcohol;NoiseLevel;Ambience;HasTV;Caters;WheelchairAccessible;webSite;phoneNumber;filReviewCount
nCH7SR7qXu0asO1GU3iqHw;Press Lounge;Press Lounge - Hell's Kitchen - New York, NY;163;3,5;Nightlife, Bars, Lounges, METADATA;653 11th Ave (between 47th St & 48th St) New York, NY 10036 Neighborhoods: Hell's Kitchen, Midtown West;Mon-Tue, Sun 5 pm - 1 am Wed-Sat 5 pm - 2 am;;Yes;Garage, Street;;Yes;$$$;;;;;Yes;;;Full Bar;Average;Romantic, Classy, Trendy, Upscale;No;;Yes;http://www.thepresslounge.com;(212) 757-2224;13
FCl5446Rovk1HRHoXpojdg;Lavo;Lavo - Midtown East - New York, NY;245;3,5;Nightlife, Bars, Lounges, Restaurants, Italian, METADATA;39 E 58th St (between Madison Ave & Park Ave) New York, NY 10022 Neighborhood: Midtown East;Mon-Wed, Sun 11:30 am - 1:30 am Thu-Sat 11:30 am - 4 am;No;Yes;Street;Dressy;Yes;$$$;Yes;No;No;Yes;No;Free;Dinner;Full Bar;Very Loud;Trendy, Upscale;No;Yes;No;http://lavony.com/;(212) 750-5588;107
4TPN45IiMf_n_D_1w5oXPw;Knave;Knave - Midtown West - New York, NY;51;3,5;Food, Coffee & Tea, Nightlife, Bars, METADATA;Le Parker Meridien 119 W 56th St New York, NY 10019 Neighborhood: Midtown West;Mon, Sun 8 am - 12 am Tue-Sat 8 am - 1 am;;Yes;Garage;;Yes;$$$$;;;;;No;Free;;Full Bar;Average;Classy;No;;Yes;http://www.normasnyc.com;(212) 708-7392;11
tR46H5rE6Z56oqGRKTLu8A;Off The Wagon;Off The Wagon - Greenwich Village - New York, NY;352;3;Restaurants, Nightlife, Bars, METADATA;109 MacDougal St New York, NY 10012 Neighborhood: Greenwich Village;Mon-Fri 2 pm - 4 am Sat-Sun 12 pm - 4 am;No;Yes;Street;Casual;Yes;$;No;No;No;Yes;No;No;Late Night;Full Bar;Very Loud;Divey, Casual;Yes;No;Yes;http://www.nycbestbar.com/off/;(212) 533-4487;26
jgo6_g_dvuhp6KgeVse2aQ;Slane;Slane - Greenwich Village - New York, NY;67;3;Restaurants, Irish, Nightlife, Bars, Pubs, METADATA;102 MacDougal St New York, NY 10012 Neighborhood: Greenwich Village;;No;Yes;;Casual;Yes;$$;Yes;;;Yes;No;Free;Late Night, Dinner;Full Bar;Average;Casual;Yes;No;;http://www.slanenyc.com;(212) 505-0079;9
54SrQVVhGcvfuIkFabQ8KQ;P.J. Clarke's;P.J. Clarke's - Midtown East - New York, NY;366;3,5;Restaurants, American (Traditional), Nightlife, Bars, Pubs, Burgers, METADATA;915 3rd Ave (between 56th St & 55th St) New York, NY 10022 Neighborhood: Midtown East;Mon-Sun 11:30 am - 3 am;No;Yes;Street;Casual;Yes;$$;Yes;Yes;Yes;Yes;No;No;Dinner;Full Bar;Loud;Casual;Yes;No;Yes;http://pjclarkes.com;(212) 317-1616;56
N8LY474Pk7gmo93HM6Fe3A;Puck Fair;Puck Fair - SoHo - New York, NY;223;4;Nightlife, Bars, Pubs, Restaurants, Irish, METADATA;298 Lafayette St (between Houston St & Jersey St) New York, NY 10012 Neighborhoods: SoHo, Nolita;Mon-Fri 11 am - 4 am Sat-Sun 12 pm - 4 am;No;Yes;Street;Casual;Yes;$$;Yes;;Yes;Yes;No;Free;Dinner;Full Bar;Average;Casual;Yes;;Yes;http://www.puckfairbar.com;(212) 431-1200;18
Ac8y23odvFOIQSKdrV63Uw;Le Bateau Ivre;Le Bateau Ivre - Midtown East - New York, NY;150;4;Restaurants, French, Nightlife, Bars, Wine Bars, METADATA;230 E 51st St (between 3rd Ave & 2nd Ave) New York, NY 10022 Neighborhood: Midtown East;;No;Yes;Street;Casual;No;$$$;Yes;No;Yes;Yes;No;Free;Dinner;Beer & Wine Only;Average;Romantic, Intimate;No;Yes;Yes;http://www.lebateauivrenyc.com/;(212) 583-0579;25
vJXswY5u9rcMRrYZukpMbQ;Mad River Bar & Grill;Mad River Bar & Grill - Yorkville - New York, NY;85;3;Nightlife, Bars, Restaurants, American (Traditional), METADATA;1442 3rd Ave (between 81st St & 82nd St) New York, NY 10028 Neighborhoods: Yorkville, Upper East Side;;No;Yes;Street;Casual;Yes;$$;Yes;No;No;Yes;No;No;Late Night, Dinner;Full Bar;Average;Casual;Yes;No;Yes;http://www.madrivergrille.com;(212) 988-1832;14
DB92Fo__BuJrSLUr7DreTQ;Heartland Brewery & Chophouse;Heartland Brewery & Chophouse - Midtown West - New York, NY;143;3,5;Nightlife, Bars, Restaurants, American (Traditional), METADATA;127 W 43rd St (between Avenue Of The Americas & Broadway) New York, NY 10036 Neighborhoods: Midtown West, Theater District;;Yes;Yes;Street;Casual;Yes;$$;Yes;No;Yes;Yes;No;;Dinner;Full Bar;Average;Touristy, Casual;Yes;;Yes;;(646) 366-0235;11
