restaurantID;name;location;reviewCount;rating;categories;address;Hours;GoodforKids;AcceptsCreditCards;Parking;Attire;GoodforGroups;PriceRange;TakesReservations;Delivery;Takeout;WaiterService;OutdoorSeating;WiFi;GoodFor;Alcohol;NoiseLevel;Ambience;HasTV;Caters;WheelchairAccessible;webSite;phoneNumber;filReviewCount;totalReviews;picturesLinksArray;collegeScore;dateScore;wineScore;beerScore;longitute;latitude;fullAddress
nCH7SR7qXu0asO1GU3iqHw;Press Lounge;Press Lounge - Hell's Kitchen - New York, NY;163;3,5;Nightlife, Bars, Lounges, METADATA;653 11th Ave (between 47th St & 48th St) New York, NY 10036 Neighborhoods: Hell's Kitchen, Midtown West;Mon-Tue, Sun 5 pm - 1 am Wed-Sat 5 pm - 2 am;;Yes;Garage, Street;;Yes;$$$;;;;;Yes;;;Full Bar;Average;Romantic, Classy, Trendy, Upscale;No;;Yes;http://www.thepresslounge.com;(212) 757-2224;13;1164;['https://s3-media0.fl.yelpcdn.com/bphoto/dMduwCNuPjcPN5K-xMA7Uw/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/lhZeYmIjZWkhQ9bxAgYmPw/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/30vnCWYr9KeVUagEUR6K2Q/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/bp_pFFhIwgve_7VnBUNIew/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/vNwv_joi3ogeHXoOrfbDMg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/W1JaCmZk8eRV39ikO2HqSw/l.jpg'];0.003436426116838488;0.0936426116838488;0.05670103092783505;0.041237113402061855;-73.9958411;40.7645137;The, 653, West 48th Street, Manhattan Community Board 4, Manhattan, New York County, City of New York, New York, 10036, United States
FCl5446Rovk1HRHoXpojdg;Lavo;Lavo - Midtown East - New York, NY;245;3,5;Nightlife, Bars, Lounges, Restaurants, Italian, METADATA;39 E 58th St (between Madison Ave & Park Ave) New York, NY 10022 Neighborhood: Midtown East;Mon-Wed, Sun 11:30 am - 1:30 am Thu-Sat 11:30 am - 4 am;No;Yes;Street;Dressy;Yes;$$$;Yes;No;No;Yes;No;Free;Dinner;Full Bar;Very Loud;Trendy, Upscale;No;Yes;No;http://lavony.com/;(212) 750-5588;107;1088;['https://s3-media0.fl.yelpcdn.com/bphoto/I91Jxvf09Iuvzv2fFq9YKQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/BYye3EFUz73uumuzeS3a5g/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/Os7eNAmxS1N3xsywNYnTRQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/J3YQyug8u0LmqD9KhePDdg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/SQDUscBRfj_9_eFX_568JQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/GVBzajs_5I5PQh6Au9h9Dg/l.jpg'];0.004595588235294118;0.024816176470588234;0.05974264705882353;0.003676470588235294;-73.9713013;40.7628314;Lavo, 9, East 58th Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10022, United States
tR46H5rE6Z56oqGRKTLu8A;Off The Wagon;Off The Wagon - Greenwich Village - New York, NY;352;3;Restaurants, Nightlife, Bars, METADATA;109 MacDougal St New York, NY 10012 Neighborhood: Greenwich Village;Mon-Fri 2 pm - 4 am Sat-Sun 12 pm - 4 am;No;Yes;Street;Casual;Yes;$;No;No;No;Yes;No;No;Late Night;Full Bar;Very Loud;Divey, Casual;Yes;No;Yes;http://www.nycbestbar.com/off/;(212) 533-4487;26;683;['https://s3-media0.fl.yelpcdn.com/bphoto/3TO5GuehlkgKGzM7sGV5Xw/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/wInnaltLvmEgefufuOALfQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/3X7BgtKj4LEI6b-2uTCscw/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/IWbXygk3RxRAhHaIhHgp2A/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/04ByEKXEY8riX8KTFWkvhg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/EhMraTcffiFqm1u2kvSm3Q/l.jpg'];0.3206442166910688;0.024890190336749635;0.010248901903367497;0.48462664714494874;-74.0008153;40.7299118;off the wagon, MacDougal Street, University Village, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10012, United States
54SrQVVhGcvfuIkFabQ8KQ;P.J. Clarke's;P.J. Clarke's - Midtown East - New York, NY;366;3,5;Restaurants, American (Traditional), Nightlife, Bars, Pubs, Burgers, METADATA;915 3rd Ave (between 56th St & 55th St) New York, NY 10022 Neighborhood: Midtown East;Mon-Sun 11:30 am - 3 am;No;Yes;Street;Casual;Yes;$$;Yes;Yes;Yes;Yes;No;No;Dinner;Full Bar;Loud;Casual;Yes;No;Yes;http://pjclarkes.com;(212) 317-1616;56;992;['https://s3-media0.fl.yelpcdn.com/bphoto/oFh6AGezb0CEL405ImSjHA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/nhl1cxVXziJqoAIyxou7_Q/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/4xV_rL1KfSOwX9-22a7s7g/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/TuxhMQhs8qF_omHxWIHeaA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/hrN1Lg5jumKQPzCpYqUkKA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/LwI2qFk6YtpuR-7XlqEwyA/l.jpg'];0.006048387096774193;0.02217741935483871;0.03024193548387097;0.09375;-73.9682301;40.7589826;P.J. Clarke’s, 915, 3rd Avenue, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10022, United States
RrYu2qflS9MkK8U8kwbBXg;Flute Midtown;Flute Midtown - Midtown West - New York, NY;108;3,5;Nightlife, Bars, Lounges, Champagne Bars, METADATA;205 W 54th St (between 7th Ave & Broadway) New York, NY 10019 Neighborhoods: Midtown West, Theater District;Mon-Wed, Sun 5 pm - 2 am Thu 5 pm - 3 am Fri-Sat 5 pm - 4 am;;Yes;Street;;Yes;$$$;;;;;No;;;Full Bar;Average;Romantic;No;;No;http://www.flutebar.com;(212) 265-5169;13;301;['https://s3-media0.fl.yelpcdn.com/bphoto/A6buKNVSKUIW2OlbJrwHGg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/oSdwjrqtMQEjR0XCrbmjVQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/mfdORjERb_EPF1XsAoNsPA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/s_OidTSSOGrFE0k82q9kYg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/ftN4MsuJvy2XSOtta5PpTQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/5frsmQs1qWd0370vyrSEig/l.jpg'];0.006644518272425249;0.2292358803986711;0.08970099667774087;0.04983388704318937;-73.9819712;40.7639513;Flûte, 205, West 54th Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10019, United States
o3l8CcisNgu10SQB-rRATw;Beckett's Bar & Grill;Beckett's Bar & Grill - Financial District - New York, NY;80;2,5;Nightlife, Bars, Pubs, Restaurants, American (New), Sports Bars, METADATA;81 Pearl St (between Hanover Sq & Coenties Aly) New York, NY 10004 Neighborhood: Financial District;Mon-Wed 11 am - 2 am Thu-Sat 11 am - 3 am Sun 11 am - 1 am;No;Yes;;Casual;Yes;$$;Yes;Yes;Yes;Yes;Yes;;Lunch, Dinner;Full Bar;Average;Casual;Yes;;;http://beckettsnyc.com;(212) 269-1001;12;220;['https://s3-media0.fl.yelpcdn.com/bphoto/EsKJXUsjjFLY17sKSTyCTg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/JH510He5clOoS12o_C5HUQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/Yd_0tkZZKNsZ_XvoGgiBhg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/xAxjD1clDZiQq_hU0kH8GA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/GzNeTDrU4wAO9rGrBlveUg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/7m-y1JAiXWKmpCzE6nF_jg/l.jpg'];0.00909090909090909;0.0;0.022727272727272728;0.15;-74.01034504850747;40.70414255;Beckett's Bar and Grill, 81, Pearl Street, Financial District, Manhattan, New York County, City of New York, New York, 10004, United States
RbXkUNt4O2_5vQT0mucjfw;Smalls;Smalls - West Village - New York, NY;89;4,5;Nightlife, Bars, Lounges, Arts & Entertainment, Jazz & Blues, METADATA;183 W 10th St (between 4th St & S 7th Ave) New York, NY 10014 Neighborhood: West Village;;No;Yes;Street;;Yes;$$;;;;;No;;;Full Bar;Loud;;No;;No;http://www.smallsjazzclub.com;(212) 252-5091;12;375;['https://s3-media0.fl.yelpcdn.com/bphoto/auJlwigfIcpd-_HDOO27mg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/kK8yE_-gvx8hx_1pOrVidw/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/pk6miXwOYz8QQ_CDLWb29A/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/vOZoRrCZHNAbOvA4NKD6kQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/2aSLf8XeTr8Cx_9TscXYnw/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/5zKSC6KHNYMDgC7mSsuYtQ/l.jpg'];0.005333333333333333;0.04533333333333334;0.058666666666666666;0.042666666666666665;-74.0027295;40.7343811;Smalls Jazz Club, West 10th Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10014, United States
A6rMNYsQ3AqPmm_6jofNzw;Jake's Saloon;Jake's Saloon - Chelsea - New York, NY;59;3;Nightlife, Bars, METADATA;206 W 23rd St (between 7th Ave & 8th Ave) New York, NY 10011 Neighborhood: Chelsea;;;Yes;Street;;Yes;$$;;;;;No;;;Full Bar;Average;;Yes;;Yes;http://www.jakessaloonnyc.com/jake…;(212) 337-3100;9;165;['https://s3-media0.fl.yelpcdn.com/bphoto/MHjs1-5qhQA3Bn70vwmThQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/cSxjmQunbeEdlO3I-VXKlg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/24x_bbZUsKFS-d-3fw2GdA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/SoXi40bv4JstfMva_La0VQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/FRuEL-plHy-_6BP2WzX6Gg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/LAPUhgnkXxw64PUkm9Wn0A/l.jpg'];0.006060606060606061;0.006060606060606061;0.04242424242424243;0.2606060606060606;-74.0014362;40.7459665;Jake's Saloon, 203, West 23rd Street, Chelsea District, Manhattan, New York County, City of New York, New York, 10011, United States
-OAQxe4X74oe0I7_s2E8uA;The Irish Punt;The Irish Punt - New York, NY;18;3;Restaurants, Nightlife, Bars, Pubs, METADATA;40 Exchange Pl Lbby 1 New York, NY 10005;;No;Yes;Street;Casual;Yes;$$;No;No;Yes;Yes;No;No;;Full Bar;Average;;Yes;;No;;(212) 422-7868;1;68;['https://s3-media0.fl.yelpcdn.com/bphoto/MjyNFyNeMLY3iu_5BWyR-A/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/4Ly30WvFkzd-tMAGEsnjzQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/T4yoqcJsiTl2H0AkOWZM1Q/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/RXd3WTMkapy5LJ5IpnXlQQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/p0G6iUNYm5rh3pkqlDIRGQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/4AzM5l_LpBqhsicThFscvA/l.jpg'];0.0;0.029411764705882353;0.029411764705882353;0.19117647058823528;-74.0103947;40.7059245;The Irish Punt, 40, Exchange Place, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10005, United States
QArou0r7CmLNPWYRA9ecog;McSorley's Old Ale House;McSorley's Old Ale House - East Village - New York, NY;772;4;Nightlife, Bars, Dive Bars, Food, Breweries, METADATA;15 E 7th St (between Cooper Sq & Taras Shevchenko Pl) New York, NY 10003 Neighborhood: East Village;Mon-Sat 11 am - 1 am Sun 1 pm - 1 am;;No;Street;;Yes;$;;;;;No;;;Beer & Wine Only;Loud;Divey;No;;No;http://www.mcsorleysnewyork.com;(212) 473-9148;55;1903;['https://s3-media0.fl.yelpcdn.com/bphoto/1l87JYUuhb--3pKszJ5WsQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/UaMbG0WAT1e6RsMcsYhBvQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/ReFCp4l7F5g3C7QxFiI7aA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/ThhGLmS2Qkrsro4Bad9gPA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/knJQqjNdgBkmQzOU1TKksA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/pgrsR_TWWrbinkiv9VGtog/l.jpg'];0.016815554387808723;0.009984235417761429;0.006831318970047294;0.6547556489753021;-73.9897021;40.7287612;McSorley's Old Ale House, East 7th Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10009, United States
